Timestamp,Color
2024-11-15 16:36:26,Azul Muy Claro
2024-11-15 16:36:54,Azul Muy Claro
2024-11-15 16:39:12,Azul Muy Claro
2024-11-15 16:40:04,Azul Muy Claro
2024-11-15 16:40:29,Azul Muy Claro
2024-11-15 16:34:51,Azul Muy Claro
2024-11-15 16:36:02,Azul Muy Claro
2024-11-15 16:36:26,Azul Muy Claro
2024-11-15 16:36:54,Azul Muy Claro
2024-11-15 16:39:12,Azul Muy Claro
2024-11-15 16:40:04,Azul Muy Claro
2024-11-15 16:40:29,Azul Muy Claro
2024-11-15 16:41:13,Azul Muy Claro
2024-11-15 16:34:51,Azul Muy Claro
2024-11-15 16:36:02,Azul Muy Claro
2024-11-15 16:36:26,Azul Muy Claro
2024-11-15 16:36:54,Azul Muy Claro
2024-11-15 16:39:12,Azul Muy Claro
2024-11-15 16:40:04,Azul Muy Claro
2024-11-15 16:40:29,Azul Muy Claro
2024-11-15 16:41:13,Azul Muy Claro
2024-11-15 16:41:18,Azul Muy Claro
2024-11-15 16:34:51,Azul Muy Claro
2024-11-15 16:36:02,Azul Muy Claro
2024-11-15 16:36:26,Azul Muy Claro
2024-11-15 16:36:54,Azul Muy Claro
2024-11-15 16:39:12,Azul Muy Claro
2024-11-15 16:40:04,Azul Muy Claro
2024-11-15 16:40:29,Azul Muy Claro
2024-11-15 16:41:13,Azul Muy Claro
2024-11-15 16:41:18,Azul Muy Claro
2024-11-15 16:41:23,Azul Muy Claro
2024-11-15 16:46:13,Azul Muy Claro
2024-11-15 16:54:26,Azul Muy Claro
2024-11-15 16:57:25,Azul Muy Claro
2024-11-15 16:59:19,Azul Muy Claro
2024-11-15 17:00:23,Azul Muy Claro
2024-11-15 17:00:23,Azul Muy Claro
2024-11-15 17:03:49,Azul Muy Claro
